Symbol,Date,Entry,Exit,Qty,PnL
INDIANB,2017-09-18,286.0,288.027975,349.65034965034965,709.082167832177
INDIANB,2017-10-25,301.25,303.824025,331.9502074688797,854.448132780085
INDIANB,2018-03-21,296.1,296.6758125,337.7237419790611,194.4655521783126
INDIANB,2018-03-27,298.45,299.02522500000003,335.0644999162339,192.737476964331
INDIANB,2018-04-03,308.6,310.12245,324.0440699935191,493.34089436163055
INDIANB,2018-06-13,367.2,367.8580125,272.33115468409585,179.19730392156424
INDIANB,2018-07-26,336.0,336.91575,297.6190476190476,272.54464285714363
INDIANB,2018-07-30,361.7,363.6590625,276.4722145424385,541.6263478020503
INDIANB,2018-12-13,232.95,238.77374999999998,429.27666881305004,2499.999999999996
INDIANB,2019-05-20,240.3,246.30749999999998,416.14648356221386,2499.999999999985
INDIANB,2019-05-23,253.7,256.93575,394.1663381947182,1275.4237288135578
INDIANB,2020-01-09,100.15,100.57485,998.5022466300549,424.213679480771
INDIANB,2020-04-07,45.8,45.8385375,2183.406113537118,84.14301310044517
INDIANB,2020-04-17,47.1,47.2381875,2123.1422505307855,293.39171974522463
INDIANB,2020-04-23,50.65,50.8372875,1974.3336623889438,369.76801579467644
INDIANB,2020-05-13,48.15,48.2379375,2076.8431983385253,182.63239875389914
INDIANB,2020-05-28,44.55,44.7388125,2244.6689113355783,423.82154882155896
INDIANB,2020-06-01,44.75,45.438637500000006,2234.63687150838,1538.854748603365
INDIANB,2020-06-03,47.45,47.838037500000006,2107.481559536354,817.7818756585941
INDIANB,2020-06-22,57.45,57.9855,1740.6440382941687,932.1148825065255
INDIANB,2020-07-15,62.25,62.3844,1606.425702811245,215.90361445783037
INDIANB,2020-09-10,60.8,61.084725000000006,1644.7368421052631,468.2976973684355
INDIANB,2020-10-19,58.25,58.6353375,1716.7381974248926,661.5236051502121
INDIANB,2020-10-21,60.05,60.534862499999996,1665.2789342214821,807.4313072439608
INDIANB,2020-10-22,61.5,62.0344875,1626.0162601626016,869.0853658536543
INDIANB,2021-02-05,126.75,129.91875,788.9546351084813,2499.999999999991
INDIANB,2021-02-18,149.75,150.8122875,667.779632721202,709.3739565943215
INDIANB,2021-03-08,142.3,142.4143875,702.7406886858748,80.3847505270501
INDIANB,2021-04-20,101.2,102.37440000000001,988.1422924901185,1160.4743083004007
INDIANB,2021-04-28,114.05,114.17145000000001,876.8084173608066,106.48838228847877
INDIANB,2021-05-28,144.0,144.16395,694.4444444444445,113.85416666666654
INDIANB,2021-09-14,126.2,126.91826250000001,792.3930269413629,569.1461965134775
INDIANB,2021-10-18,172.15,173.60658750000002,580.8887598024978,846.1153064188277
INDIANB,2021-12-03,145.65,146.2134375,686.5774116031582,386.843460350149
INDIANB,2021-12-28,138.95,139.1652,719.6833393306946,154.8758546239727
INDIANB,2022-01-31,152.9,156.7225,654.0222367560497,2499.999999999994
INDIANB,2022-02-07,171.7,172.25692500000002,582.4111822947001,324.35934769949637
INDIANB,2022-02-25,144.45,145.263675,692.2810661128418,563.2917964693788
INDIANB,2022-03-03,144.65,144.8137875,691.323885240235,113.23021085377376
INDIANB,2022-03-10,149.45,150.7123125,669.1201070592172,844.6386751421929
INDIANB,2022-03-17,154.05,154.56135,649.1398896462188,331.93768257058946
INDIANB,2022-04-19,166.0,166.15845,602.4096385542168,95.4518072289083
INDIANB,2022-05-13,142.8,143.41413749999998,700.2801120448179,430.06827731090317
INDIANB,2022-05-20,155.3,155.66107499999998,643.9150032195749,232.50160978748946
INDIANB,2022-05-25,161.55,161.9595,619.0034045187248,253.48189415040542
INDIANB,2022-07-05,152.1,152.6118375,657.4621959237344,336.5138067061228
INDIANB,2022-07-20,175.55,175.75605000000002,569.6382796923953,117.37396753062073
INDIANB,2022-08-25,181.3,184.00398750000002,551.5719801434087,1491.4437396580313
INDIANB,2022-09-29,190.75,191.3021625,524.2463958060289,289.4692005242509
INDIANB,2022-10-14,199.7,199.95000000000002,500.7511266900351,125.18778167252302
INDIANB,2022-11-07,260.2,266.705,384.31975403535745,2499.9999999999986
INDIANB,2022-12-13,274.4,281.07971249999997,364.4314868804665,2434.2975583090356
INDIANB,2023-03-03,283.1,284.52885000000003,353.2320734722713,504.7156481808588
INDIANB,2023-04-28,322.35,327.31815,310.2218085931441,1541.2284783620225
INDIANB,2023-06-01,273.35,273.5815875,365.8313517468447,84.72196817266844
INDIANB,2023-07-04,304.0,305.32365,328.94736842105266,435.41118421052187
INDIANB,2023-10-11,418.65,419.795025,238.86301206258213,273.50412038696584
INDIANB,2023-10-12,429.55,430.6423125,232.80176929344663,254.29228262134592
INDIANB,2023-10-31,416.35,417.8955,240.18253872943436,371.20211360634175
INDIANB,2024-01-04,424.9,427.1431875,235.34949399858792,527.9330430689653
INDIANB,2024-01-25,453.25,464.58124999999995,220.62879205736348,2499.99999999999
INDIANB,2024-03-11,553.6,555.4111125,180.635838150289,327.1518244219512
